title,issues,author,date,publication_type,rejection_reason
#prison kill (Newsletter),NA,NA,NA,NA,NA
30/40 Plus,All Issues,NA,NA,NA,NA
4 Liferz,NA,NA,NA,NA,NA
Advanced Gunsmithing,NA,NA,NA,NA,NA
Advanced Persistent Threat Hacking,NA,NA,9/21/2021,NA,NA
Advanced Survival,NA,NA,NA,NA,NA
All Natural Beauties,NA,NA,NA,NA,NA
American Gods,NA,NA,NA,NA,NA
American Sovereignty Information Packet,NA,NA,NA,NA,NA
Americas Massacre,PARTS I and II,NA,NA,NA,NA
An Updated history Of The New Afrikin Prison Struggle,NA,NA,NA,NA,NA
Armchair Chemistry,NA,NA,NA,NA,NA
ASIS,All Issues,NA,NA,NA,NA
Astrosex,NA,NA,NA,NA,NA
ATM,All Issues,NA,NA,NA,NA
BBO,All Issues,NA,NA,NA,NA
Better Sex in No Time,NA,NA,NA,NA,NA
Big Bad Book of Botany,NA,NA,NA,NA,NA
Big Black Stand at Attica,NA,NA,NA,NA,NA
Black and Pink News,All Issues,NA,NA,NA,NA
Black Mystique,NA,NA,NA,NA,NA
Block Party Series,All Issues,NA,NA,NA,NA
Booty Royal – Never Go Down Without A Fight,NA,NA,NA,NA,NA
Book of Glock,NA,NA,NA,NA,NA
Bubishi,NA,NA,NA,NA,NA
Bucklands complete book of witchcraft,NA,NA,NA,NA,NA
Bucklands complete book of Saxon witchcraft,NA,NA,NA,NA,NA
Buttman,All Issues,NA,NA,NA,NA
Chemistry made easy,NA,NA,NA,NA,NA
Cheri,All Issues,NA,NA,NA,NA
Chica,All Issues,NA,NA,NA,NA
Cinema Sewer,All Issues,NA,NA,NA,NA
Clitoral Truth,NA,NA,NA,NA,NA
Club,All Issues,NA,NA,NA,NA
Codebreaking,NA,NA,NA,NA,NA
Combat Handguns,NA,NA,NA,NA,NA
Comic Artist,NA,NA,NA,NA,NA
Commissary Kitchen: My infamous Prison Cookbook,NA,NA,NA,NA,NA
CompTIA Security+,NA,NA,NA,NA,NA
Cosmopolitan,"June 18, 2018 Issue Only",NA,NA,NA,NA
Crime Scene Staging,NA,NA,NA,NA,NA
Culture in Revolution,All Issues,NA,NA,NA,NA
Cum For Me,All Issues,NA,NA,NA,NA
Cybersecurity Career Master Plan,NA,NA,NA,NA,NA
Dabiq,All Issues,NA,NA,NA,NA
Daddy Cool,NA,NA,NA,NA,NA
Daddy Long Stroke,NA,NA,NA,NA,NA
Death 2 Authority,NA,NA,NA,NA,NA
Death In Darkness,NA,NA,NA,NA,NA
Deep Throat Diva,NA,NA,NA,NA,NA
Diary of a sex fiend,NA,NA,NA,NA,NA
Dirty Girl Collection,All Issues,NA,NA,NA,NA
Don Diva,All Issues,NA,NA,NA,NA
Dynamic Strength,NA,NA,NA,NA,NA
Ecstasy The Complete Guide,NA,NA,NA,NA,NA
Erotic Threesomes,NA,NA,NA,NA,NA
Escort (Readers Wives),No.99 Issue Only,NA,NA,NA,NA
Essential book of martial arts kicks,NA,NA,NA,NA,NA
Everything your lover will burn,NA,NA,NA,NA,NA
Explosive Sex,NA,NA,NA,NA,NA
Extra Petite Pussy Girls,NA,NA,NA,NA,NA
Fantasy Bound,NA,NA,NA,NA,NA
FANTASY SPORTS PUBLICATIONS,All Issues,NA,NA,NA,NA
